doi,matched,unmatched,sum,proportion
10.48072,70,114,184,0.62
10.21125,925,1487,2412,0.62
10.4324,79,74,153,0.48
10.18203,90,83,173,0.48
10.37811,68,40,108,0.37
10.18287,126,69,195,0.35
10.1142,166,90,256,0.35
10.3174,92,47,139,0.34
10.1140,150,74,224,0.33
10.3410,761,349,1110,0.31
10.1145,259,113,372,0.3
10.22541,127,54,181,0.3
10.21203,1320,560,1880,0.3
10.15407,142,60,202,0.3
10.2737,91,36,127,0.28
10.4274,253,99,352,0.28
10.1186,1743,633,2376,0.27
10.1177,2621,948,3569,0.27
10.1089,127,45,172,0.26
10.3126,135,46,181,0.25
10.15448,100,34,134,0.25
10.46420,77,25,102,0.25
10.1063,1736,563,2299,0.24
10.1039,7378,2286,9664,0.24
10.17116,240,74,314,0.24
10.1088,1957,597,2554,0.23
10.11591,85,25,110,0.23
10.14295,116,34,150,0.23
10.1016,31898,9076,40974,0.22
10.17650,184,51,235,0.22
10.1007,12153,3279,15432,0.21
10.1113,137,35,172,0.2
10.3989,102,26,128,0.2
10.1136,1391,348,1739,0.2
10.24110,141,35,176,0.2
10.15581,822,201,1023,0.2
10.1515,230,54,284,0.19
10.11646,563,132,695,0.19
10.32388,128,29,157,0.18
10.1371,1484,324,1808,0.18
10.1055,236,51,287,0.18
10.5433,84,18,102,0.18
10.1093,2722,566,3288,0.17
10.2217,98,20,118,0.17
10.12688,314,64,378,0.17
10.1053,85,17,102,0.17
10.3168,172,34,206,0.17
10.1103,593,114,707,0.16
10.1287,115,22,137,0.16
10.15446,95,18,113,0.16
10.33920,100,18,118,0.15
10.1021,11469,2056,13525,0.15
10.1242,119,21,140,0.15
10.33448,883,153,1036,0.15
10.5007,93,16,109,0.15
10.2337,436,75,511,0.15
10.15829,314,54,368,0.15
10.1094,109,18,127,0.14
10.4028,116,19,135,0.14
10.1155,2817,452,3269,0.14
10.1158,694,109,803,0.14
10.1049,253,39,292,0.13
10.1126,898,137,1035,0.13
10.1002,12342,1865,14207,0.13
10.2174,358,54,412,0.13
10.34172,88,13,101,0.13
10.1108,305,45,350,0.13
10.2147,533,78,611,0.13
10.1210,165,23,188,0.12
10.3847,2063,279,2342,0.12
10.17816,260,35,295,0.12
10.1590,2122,284,2406,0.12
10.5902,113,15,128,0.12
10.11606,131,17,148,0.11
10.1111,7824,1000,8824,0.11
10.1017,613,77,690,0.11
10.1109,13021,1611,14632,0.11
10.14341,217,26,243,0.11
10.15252,110,13,123,0.11
10.31219,428,50,478,0.1
10.21518,112,13,125,0.1
10.26442,140,16,156,0.1
10.1152,158,18,176,0.1
10.1080,6920,775,7695,0.1
10.1523,109,12,121,0.1
10.1200,202,22,224,0.1
10.1149,680,70,750,0.09
10.26434,354,36,390,0.09
10.1161,787,80,867,0.09
10.1183,158,16,174,0.09
10.1364,544,53,597,0.09
10.1073,433,42,475,0.09
10.1061,293,28,321,0.09
10.2172,168,16,184,0.09
10.1159,687,65,752,0.09
10.1029,1265,115,1380,0.08
10.4102,194,17,211,0.08
10.3133,147,12,159,0.08
10.20944,525,41,566,0.07
10.35381,501,39,540,0.07
10.2196,1346,104,1450,0.07
10.1212,233,18,251,0.07
10.1038,5789,419,6208,0.07
10.1172,212,15,227,0.07
10.1101,4072,283,4355,0.06
10.4018,422,29,451,0.06
10.1051,222,15,237,0.06
10.1182,267,18,285,0.06
10.3897,253,17,270,0.06
10.3390,23219,1177,24396,0.05
10.7554,406,20,426,0.05
10.15690,314,15,329,0.05
10.1037,384,18,402,0.04
10.1098,408,19,427,0.04
10.1128,344,16,360,0.04
10.5194,4525,210,4735,0.04
10.3346,197,9,206,0.04
10.22141,243,7,250,0.03
10.1107,403,8,411,0.02
10.15587,130,1,131,0.01
10.31234,467,3,470,0.01
10.32473,130,0,130,0.0
