doiPrefix,count
10.1016,32139
10.1038,9885
10.1007,7336
10.1002,7242
10.1111,6937
10.1093,5848
10.1073,3740
10.1097,3647
10.1021,3345
10.1128,3215
10.1126,2796
10.1136,2167
10.1186,2158
10.1074,2127
10.1371,1941
10.1001,1831
10.1161,1658
10.1056,1588
10.1080,1580
10.1152,1512
10.1177,1344
10.1006,1319
10.1046,1315
10.1146,1060
10.1037,915
10.1523,915
10.1103,827
10.1158,819
10.1172,818
10.1210,817
10.1159,810
10.1101,754
10.1086,743
10.1083,728
10.1039,692
10.1042,688
10.1084,685
10.1089,684
10.3109,624
10.1017,609
10.1200,559
10.1182,533
10.4049,518
10.1053,511
10.2337,502
10.1023,477
10.1113,451
10.1099,435
10.3389,433
10.1212,400
10.2307,387
10.1242,381
10.1104,371
10.1155,357
10.7326,353
10.3390,342
10.1098,328
10.1055,322
10.1148,310
10.1176,308
10.2174,303
10.1164,280
10.1109,259
10.1105,247
10.4161,224
10.1124,218
10.1107,213
10.1063,208
10.1542,208
10.1378,207
10.3171,193
10.1088,191
10.1091,185
10.2105,184
10.1096,180
10.1067,178
10.2165,176
10.1034,169
10.1029,163
10.1364,162
10.1167,146
10.3892,146
10.1590,145
10.2214,143
10.18632,143
10.3201,142
10.3758,140
10.1289,139
10.4103,137
10.2147,129
10.1530,127
10.1139,127
10.1515,124
10.1192,116
10.1085,110
10.3748,110
10.1517,109
10.1162,100
10.3322,94
10.1183,94
